Income,1,2,3,4,5,6
37200,304,565,774,944,989,989
37300,305,567,776,947,993,993
37400,306,568,778,949,997,997
37500,307,570,780,951,1001,1001
37600,308,571,781,953,1005,1005
37700,309,573,783,955,1009,1009
37800,310,574,785,957,1013,1013
37900,311,576,787,960,1017,1017
38000,312,577,789,962,1021,1021
38100,313,578,791,964,1025,1025
38200,314,580,793,967,1029,1029
38300,315,581,795,969,1033,1033
38400,316,583,797,971,1037,1037
38500,317,584,799,973,1041,1041
38600,318,586,800,976,1045,1045
38700,319,587,802,978,1049,1049
38800,321,589,804,980,1053,1053
38900,322,590,806,982,1057,1057
39000,323,592,808,985,1062,1062
39100,324,594,810,987,1066,1066
39200,325,595,812,990,1071,1071
39300,326,597,814,992,1075,1075
39400,327,599,816,994,1080,1080
39500,329,600,818,997,1084,1084
39600,330,602,820,999,1088,1088
39700,331,604,822,1001,1093,1093
39800,332,605,824,1004,1097,1097
39900,333,607,826,1006,1102,1102
40000,334,609,828,1008,1106,1106
40100,335,611,830,1010,1110,1110
40200,336,612,832,1013,1114,1114
40300,337,614,834,1015,1119,1119
40400,338,615,836,1017,1123,1123
40500,339,617,838,1019,1127,1127
40600,340,618,840,1022,1131,1131
40700,341,620,842,1024,1136,1136
40800,342,621,844,1026,1140,1140
40900,343,623,846,1028,1144,1144
41000,344,624,848,1031,1148,1148
41100,345,626,850,1033,1152,1152
41200,346,627,852,1036,1156,1156
41300,347,629,854,1038,1161,1161
41400,348,630,856,1040,1165,1165
41500,349,632,858,1042,1169,1169
41600,350,633,860,1045,1173,1173
41700,351,635,861,1047,1177,1177
41800,352,636,863,1049,1182,1182
41900,353,638,865,1052,1186,1186
42000,354,639,867,1054,1190,1190
42100,355,640,869,1056,1194,1194
42200,356,642,871,1058,1198,1198
42300,357,643,873,1061,1203,1203
42400,358,645,875,1063,1207,1207
42500,359,646,876,1065,1211,1211
42600,360,648,878,1067,1215,1215
42700,361,649,880,1070,1219,1219
42800,362,651,882,1072,1224,1224
42900,363,652,884,1074,1228,1228
43000,364,654,886,1076,1232,1232
43100,365,656,888,1078,1235,1236
43200,366,657,890,1081,1238,1240
43300,368,659,892,1083,1241,1244
43400,369,660,894,1085,1243,1248
43500,370,662,896,1087,1246,1252
43600,371,663,898,1090,1249,1256
43700,372,665,900,1092,1252,1260
43800,374,667,902,1094,1255,1264
43900,375,668,904,1096,1258,1268
44000,376,670,906,1099,1260,1272
44100,378,672,908,1101,1263,1276
44200,379,673,910,1104,1265,1280
44300,381,675,912,1106,1268,1284
44400,382,676,914,1108,1270,1288
44500,384,678,916,1111,1273,1292
44600,386,680,917,1113,1275,1296
44700,387,681,919,1115,1278,1301
44800,389,683,921,1117,1280,1305
44900,390,685,923,1120,1283,1309
